iter	Passed	Remaining
0	194	194053
1	196	98011
2	198	65952
3	202	50543
4	205	40874
5	207	34360
6	211	29954
7	217	26968
8	220	24233
9	222	22039
10	225	20256
11	234	19327
12	237	18048
13	240	16926
14	245	16114
15	248	15258
16	250	14498
17	253	13837
18	258	13367
19	262	12851
20	265	12357
21	267	11904
22	270	11497
23	273	11118
24	276	10800
25	286	10719
26	288	10405
27	297	10315
28	302	10121
29	305	9862
30	308	9658
31	314	9507
32	318	9331
33	335	9538
34	404	11150
35	417	11173
36	429	11184
37	432	10949
38	448	11044
39	452	10866
40	470	11004
41	473	10799
42	489	10897
43	492	10699
44	540	11480
45	544	11291
46	557	11302
47	577	11454
48	581	11279
49	584	11113
50	603	11227
51	605	11046
52	614	10981
53	620	10869
54	627	10782
55	634	10692
56	654	10830
57	658	10700
58	720	11485
59	724	11355
60	729	11231
61	781	11822
62	786	11701
63	789	11547
64	801	11524
65	815	11537
66	819	11415
67	825	11318
68	837	11299
69	840	11168
70	851	11137
71	855	11028
72	864	10973
73	879	11006
74	882	10878
75	889	10814
76	892	10698
77	909	10755
78	917	10692
79	929	10687
80	938	10652
81	947	10607
82	949	10493
83	952	10387
84	959	10329
85	969	10300
86	972	10201
87	974	10103
88	977	10005
89	979	9906
90	984	9834
91	987	9744
92	989	9655
93	992	9567
94	995	9481
95	999	9411
96	1002	9328
97	1004	9246
98	1020	9291
99	1023	9215
100	1032	9190
101	1036	9126
102	1042	9081
103	1051	9058
104	1064	9075
105	1069	9017
106	1073	8959
107	1084	8956
108	1088	8897
109	1091	8834
110	1099	8804
111	1103	8749
112	1115	8752
113	1122	8724
114	1125	8658
115	1129	8608
116	1132	8547
117	1143	8550
118	1146	8485
119	1148	8425
120	1155	8392
121	1157	8328
122	1161	8281
123	1164	8229
124	1172	8207
125	1180	8185
126	1187	8165
127	1205	8214
128	1209	8166
129	1211	8107
130	1220	8098
131	1224	8053
132	1229	8015
133	1237	7995
134	1245	7981
135	1253	7964
136	1257	7921
137	1260	7875
138	1269	7866
139	1272	7818
140	1287	7846
141	1289	7791
142	1298	7780
143	1300	7733
144	1304	7694
